Participant,Index,Start,End,Duration,X,Y,Trial,AOI,Condition,primary.AOI
1,30,732744232,732880227,135995,562.92,418.01,1,:JointB,Expert,JointB
1,32,733810022,733908461,98439,563.99,430.29,1,:JointB,Expert,JointB
1,34,734440401,734674863,234462,762.05,857.98,1,:CD,Expert,CD
1,41,736736198,736836516,100318,531.67,279.22,1,:BD,Expert,BD
1,42,736969695,737068739,99044,583.4,282.99,1,:BD,Expert,BD
1,44,737501164,737667530,166366,760.62,483.06,1,:BD,Expert,BD
1,45,737734629,737800861,66232,800.69,555.74,1,:BD,Expert,BD
1,47,738200117,738299922,99805,871.17,595.17,1,:BD,Expert,BD
1,51,739231577,739298477,66900,922.68,556.77,1,:BD,Expert,BD
1,52,739364537,739431430,66893,932.6,555.02,1,:BD,Expert,BD
1,53,739497676,739697459,199783,927.59,543.17,1,:BD,Expert,BD
1,54,739764275,739830438,66163,916.12,544.83,1,:BD,Expert,BD
1,55,739930219,740030092,99873,871.89,565.06,1,:BD,Expert,BD
1,56,740096592,740263387,166795,902.23,567.61,1,:BD,Expert,BD
1,57,740329502,740495882,166380,894.99,579.15,1,:BD,Expert,BD
1,58,740662395,740762682,100287,918.25,586.97,1,:BD,Expert,BD
1,59,740828675,740929235,100560,934.08,563.62,1,:BD,Expert,BD
1,60,740995126,741061572,66446,886.14,556.98,1,:BD,Expert,BD
1,72,749147486,749380583,233097,554.47,474.74,1,:AB,Expert,AB
1,73,749679965,749746346,66381,556.29,357.75,1,:AB,Expert,AB
1,75,749946390,750045869,99479,587.5,387.99,1,:AB,Expert,AB
1,77,750778065,750877888,99823,589.53,415.34,1,:AB:JointB,Expert,JointB
1,81,753873109,753946081,72972,950.46,431.78,1,:BD,Expert,BD
1,89,762624772,762707748,82976,648.54,529.09,1,:BC,Expert,BC
1,96,765385699,765519233,133534,719.98,694.64,1,:JointC,Expert,JointC
1,97,765585308,765818462,233154,937.12,695.87,1,:CD,Expert,CD
1,98,765985048,766184423,199375,943.11,430.61,1,:BD,Expert,BD
1,99,766284228,766351676,67448,364.29,660.96,1,:AC,Expert,AC
1,104,767416782,767694951,278169,600.44,241.67,1,:AB,Expert,AB
1,106,768484732,769279766,795034,624.82,367.85,1,:AB,Expert,AB
1,107,769471663,769684422,212759,594.93,344.75,1,:AB,Expert,AB
1,108,769945003,770012117,67114,646.23,372.76,1,:JointB,Expert,JointB
1,109,770078184,770150498,72314,783.36,331.79,1,:BD,Expert,BD
1,110,770244985,770381687,136702,694.85,362.26,1,:JointB,Expert,JointB
1,111,772839280,772972442,133162,408.78,720.57,1,:AB,Expert,AB
1,119,776999567,777300879,301312,673.87,385.54,1,:AB,Expert,AB
1,120,777780425,777940632,160207,666.17,501.37,1,:AB,Expert,AB
1,122,778432595,778529925,97330,474.33,505.23,1,:AB,Expert,AB
1,124,780160217,780326672,166455,476.34,487.55,1,:AB,Expert,AB
1,125,780426062,780493369,67307,468.28,498.55,1,:AB,Expert,AB
1,126,780559138,780625714,66576,619.71,434.52,1,:JointB,Expert,JointB
1,128,783089110,783621396,532286,674.61,472.93,1,:JointB,Expert,JointB
1,146,792837784,793003966,166182,421.92,547.86,1,:AB,Expert,AB
1,147,793071128,793170353,99225,402.98,580.82,1,:AB,Expert,AB
1,148,793236916,793403637,166721,418.83,580.15,1,:AB,Expert,AB
1,150,794136021,794335249,199228,424.43,581.72,1,:AB,Expert,AB
1,157,798128522,798228814,100292,884.53,764.86,1,:CD,Expert,CD
1,158,798295120,798361560,66440,1026.01,753.95,1,:CD,Expert,CD
1,167,804152204,804251090,98886,341.52,641.82,1,:AC,Expert,AC
1,168,804484342,804717192,232850,853.73,407.69,1,:BD,Expert,BD
1,170,806114989,806314332,199343,1002.02,444.27,1,:BD,Expert,BD
1,171,806414569,806513805,99236,424.22,514.28,1,:AB,Expert,AB
1,174,810639786,810706483,66697,543.1,449.12,1,:AB,Expert,AB
1,175,811205728,811305980,100252,348.33,575.84,1,:AB,Expert,AB
