"";"Participant";"Condition";"Joint_ms";"Tot_ms";"PercentageJoints"
"1";10;"static";114765;317038;0,36199130703575
"2";11;"tangible";89271;287497;0,31051106620243
"3";12;"tangible";64739;221029;0,292898216976053
"4";13;"static";80241;238207;0,336854080694522
"5";14;"static";154134;372045;0,414288594121679
"6";15;"tangible";122648;311872;0,39326390313975
"7";16;"tangible";127991;350676;0,364983631614368
"8";17;"static";124793;281478;0,443349036159131
"9";18;"static";129995;306759;0,423769147767466
"10";19;"tangible";156401;516436;0,302846819354189
"11";1;"static";154019;407367;0,378084135435615
"12";20;"tangible";62313;196341;0,317371308081348
"13";21;"static";87586;176404;0,496508015691254
"14";22;"static";236166;539335;0,437883690099845
"15";23;"tangible";181700;381017;0,476881608957081
"16";24;"tangible";42612;144405;0,29508673522385
"17";2;"static";62154;172858;0,359566812065395
"18";3;"tangible";62273;218016;0,285634999266109
"19";4;"tangible";59538;230959;0,257786013967847
"20";5;"static";118281;267236;0,442608780254157
"21";6;"static";98436;267285;0,36828104831921
"22";7;"tangible";68923;273523;0,251982465825543
"23";8;"tangible";88627;223281;0,396930325464325
"24";9;"static";84864;188866;0,449334448762615
